,gameid,run_total,venue_name,home_team,away_team,game_date,status,temp,weather_category,division,league
4752,266190,5,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,2010-09-30,Final,67,clear,AL_central,AL
4753,266191,5,AT&T Park,San Francisco Giants,Arizona Diamondbacks,2010-09-30,Final,72,partly cloudy,NL_west,NL
4754,266192,15,Target Field,Minnesota Twins,Toronto Blue Jays,2010-09-30,Final,69,clear,AL_central,AL
4755,266193,7,Busch Stadium,St. Louis Cardinals,Colorado Rockies,2010-09-30,Final,69,clear,NL_central,NL
4756,266194,9,Rangers Ballpark in Arlington,Texas Rangers,Los Angeles Angels,2010-10-01,Final,79,clear,AL_west,AL
4757,266195,12,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,2010-10-01,Final,75,partly cloudy,NL_west,NL
4758,266196,10,U.S. Cellular Field,Chicago White Sox,Cleveland Indians,2010-10-01,Final,69,partly cloudy,AL_central,AL
4759,266197,16,Oriole Park at Camden Yards,Baltimore Orioles,Detroit Tigers,2010-10-01,Final,65,clear,AL_east,AL
4760,266198,7,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2010-10-01,Final,68,clear,NL_central,NL
4761,266200,9,Safeco Field,Seattle Mariners,Oakland Athletics,2010-10-01,Final,64,cloudy,AL_west,AL
4762,266201,16,Turner Field,Atlanta Braves,Philadelphia Phillies,2010-10-01,Final,72,clear,NL_east,NL
4763,266202,6,Land Shark Stadium,Miami Marlins,Pittsburgh Pirates,2010-10-01,Final,84,partly cloudy,NL_east,NL
4764,266203,7,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,2010-10-01,Final,69,clear,AL_central,AL
4765,266204,3,Citi Field,New York Mets,Washington Nationals,2010-10-01,Final,64,cloudy,NL_east,NL
4766,266205,2,Minute Maid Park,Houston Astros,Chicago Cubs,2010-10-01,Final,85,clear,AL_west,AL
4767,266206,9,Target Field,Minnesota Twins,Toronto Blue Jays,2010-10-01,Final,58,partly cloudy,AL_central,AL
4768,266207,3,Busch Stadium,St. Louis Cardinals,Colorado Rockies,2010-10-01,Final,68,clear,NL_central,NL
4769,266208,10,AT&T Park,San Francisco Giants,San Diego Padres,2010-10-01,Final,66,partly cloudy,NL_west,NL
4770,266209,8,Rangers Ballpark in Arlington,Texas Rangers,Los Angeles Angels,2010-10-02,Final,79,clear,AL_west,AL
4771,266210,5,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,2010-10-02,Final,73,clear,NL_west,NL
4772,266211,8,U.S. Cellular Field,Chicago White Sox,Cleveland Indians,2010-10-02,Completed Early: Rai,47,clear,AL_central,AL
4773,266212,3,Oriole Park at Camden Yards,Baltimore Orioles,Detroit Tigers,2010-10-02,Final,64,clear,AL_east,AL
4774,266213,11,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2010-10-02,Final,62,partly cloudy,NL_central,NL
4775,266214,11,Fenway Park,Boston Red Sox,New York Yankees,2010-10-02,Final,66,sunny,AL_east,AL
4776,266215,8,Safeco Field,Seattle Mariners,Oakland Athletics,2010-10-02,Final,62,partly cloudy,AL_west,AL
4777,266216,7,Turner Field,Atlanta Braves,Philadelphia Phillies,2010-10-02,Final,76,sunny,NL_east,NL
4778,266217,2,Land Shark Stadium,Miami Marlins,Pittsburgh Pirates,2010-10-02,Final,82,clear,NL_east,NL
4779,266218,6,AT&T Park,San Francisco Giants,San Diego Padres,2010-10-02,Final,69,sunny,NL_west,NL
4780,266219,4,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,2010-10-02,Final,60,partly cloudy,AL_central,AL
4781,266220,9,Citi Field,New York Mets,Washington Nationals,2010-10-02,Final,64,sunny,NL_east,NL
4782,266221,1,Busch Stadium,St. Louis Cardinals,Colorado Rockies,2010-10-02,Final,59,cloudy,NL_central,NL
4783,266222,9,Target Field,Minnesota Twins,Toronto Blue Jays,2010-10-02,Final,50,partly cloudy,AL_central,AL
4784,266223,11,Minute Maid Park,Houston Astros,Chicago Cubs,2010-10-02,Final,82,clear,AL_west,AL
4785,266224,8,Rangers Ballpark in Arlington,Texas Rangers,Los Angeles Angels,2010-10-03,Final,65,sunny,AL_west,AL
4786,266225,4,Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,2010-10-03,Final,81,partly cloudy,NL_west,NL
4787,266226,11,U.S. Cellular Field,Chicago White Sox,Cleveland Indians,2010-10-03,Final,50,partly cloudy,AL_central,AL
4788,266227,6,Oriole Park at Camden Yards,Baltimore Orioles,Detroit Tigers,2010-10-03,Final,62,overcast,AL_east,AL
4789,266228,5,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2010-10-03,Final,51,overcast,NL_central,NL
4790,266229,12,Fenway Park,Boston Red Sox,New York Yankees,2010-10-03,Final,57,cloudy,AL_east,AL
4791,266230,7,Safeco Field,Seattle Mariners,Oakland Athletics,2010-10-03,Final,62,cloudy,AL_west,AL
4792,266231,15,Turner Field,Atlanta Braves,Philadelphia Phillies,2010-10-03,Final,67,sunny,NL_east,NL
4793,266232,7,Land Shark Stadium,Miami Marlins,Pittsburgh Pirates,2010-10-03,Final,86,partly cloudy,NL_east,NL
4794,266233,5,Kauffman Stadium,Kansas City Royals,Tampa Bay Rays,2010-10-03,Final,58,sunny,AL_central,AL
4795,266234,3,Citi Field,New York Mets,Washington Nationals,2010-10-03,Final,61,partly cloudy,NL_east,NL
4796,266235,4,Minute Maid Park,Houston Astros,Chicago Cubs,2010-10-03,Final,73,sunny,AL_west,AL
4797,266236,3,Target Field,Minnesota Twins,Toronto Blue Jays,2010-10-03,Final,55,partly cloudy,AL_central,AL
4798,266237,7,Busch Stadium,St. Louis Cardinals,Colorado Rockies,2010-10-03,Final,59,partly cloudy,NL_central,NL
4799,266238,3,AT&T Park,San Francisco Giants,San Diego Padres,2010-10-03,Final,65,partly cloudy,NL_west,NL
4800,272749,11,Hubert H. Humphrey Metrodome,Minnesota Twins,Detroit Tigers,2009-10-06,Final,68,dome,AL_central,AL
4801,286874,6,Kauffman Stadium,Kansas City Royals,Los Angeles Angels,2011-03-31,Final,45,overcast,AL_central,AL
4802,286875,2,Nationals Park,Washington Nationals,Atlanta Braves,2011-03-31,Final,41,overcast,NL_east,NL
4803,286876,9,Yankee Stadium,New York Yankees,Detroit Tigers,2011-03-31,Final,42,cloudy,AL_east,AL
4804,286877,13,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2011-03-31,Final,41,overcast,NL_central,NL
4805,286878,8,Busch Stadium,St. Louis Cardinals,San Diego Padres,2011-03-31,Final,53,partly cloudy,NL_central,NL
4806,286879,3,Kauffman Stadium,Kansas City Royals,Los Angeles Angels,2011-04-01,Final,62,partly cloudy,AL_central,AL
4807,286880,13,Coors Field,Colorado Rockies,Arizona Diamondbacks,2011-04-01,Final,62,sunny,NL_west,NL
4808,286881,5,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,2011-04-01,Final,72,dome,AL_east,AL
4809,286882,14,Rangers Ballpark in Arlington,Texas Rangers,Boston Red Sox,2011-04-01,Final,86,sunny,AL_west,AL
4810,286883,25,Progressive Field,Cleveland Indians,Chicago White Sox,2011-04-01,Final,43,sunny,AL_central,AL
4811,286884,9,Citizens Bank Park,Philadelphia Phillies,Houston Astros,2011-04-01,Final,40,drizzle,NL_east,NL
4812,286885,16,Rogers Centre,Toronto Blue Jays,Minnesota Twins,2011-04-01,Final,68,roof closed,AL_east,AL
4813,286886,8,Land Shark Stadium,Miami Marlins,New York Mets,2011-04-01,Final,85,partly cloudy,NL_east,NL
4814,286887,9,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,2011-04-01,Final,41,overcast,NL_central,NL
4815,286888,8,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2011-04-01,Final,64,cloudy,AL_west,AL
4816,286889,7,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,2011-04-01,Final,73,clear,NL_west,NL
4817,286890,9,Kauffman Stadium,Kansas City Royals,Los Angeles Angels,2011-04-02,Final,52,partly cloudy,AL_central,AL
4818,286891,4,Coors Field,Colorado Rockies,Arizona Diamondbacks,2011-04-02,Final,79,partly cloudy,NL_west,NL
4819,286892,9,Nationals Park,Washington Nationals,Atlanta Braves,2011-04-02,Final,43,cloudy,NL_east,NL
4820,286913,4,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,2011-04-02,Final,72,dome,AL_east,AL
4821,286914,17,Rangers Ballpark in Arlington,Texas Rangers,Boston Red Sox,2011-04-02,Final,83,clear,AL_west,AL
4822,286915,11,Progressive Field,Cleveland Indians,Chicago White Sox,2011-04-02,Final,44,sunny,AL_central,AL
4823,286916,16,Yankee Stadium,New York Yankees,Detroit Tigers,2011-04-02,Final,52,partly cloudy,AL_east,AL
4824,286917,13,Citizens Bank Park,Philadelphia Phillies,Houston Astros,2011-04-02,Final,51,cloudy,NL_east,NL
4825,286918,6,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2011-04-02,Final,56,partly cloudy,NL_central,NL
4826,286919,7,Rogers Centre,Toronto Blue Jays,Minnesota Twins,2011-04-02,Final,68,roof closed,AL_east,AL
4827,286920,10,Land Shark Stadium,Miami Marlins,New York Mets,2011-04-02,Final,84,clear,NL_east,NL
4828,286921,8,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,2011-04-02,Final,46,partly cloudy,NL_central,NL
4829,286922,14,Busch Stadium,St. Louis Cardinals,San Diego Padres,2011-04-02,Final,65,partly cloudy,NL_central,NL
4830,286923,7,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2011-04-02,Final,58,cloudy,AL_west,AL
4831,286924,10,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,2011-04-02,Final,67,partly cloudy,NL_west,NL
4832,286925,21,Kauffman Stadium,Kansas City Royals,Los Angeles Angels,2011-04-03,Final,79,partly cloudy,AL_central,AL
4833,286927,13,Nationals Park,Washington Nationals,Atlanta Braves,2011-04-03,Final,53,partly cloudy,NL_east,NL
4834,286928,6,Tropicana Field,Tampa Bay Rays,Baltimore Orioles,2011-04-03,Final,72,dome,AL_east,AL
4835,286929,6,Rangers Ballpark in Arlington,Texas Rangers,Boston Red Sox,2011-04-03,Final,79,partly cloudy,AL_west,AL
4836,286930,8,Progressive Field,Cleveland Indians,Chicago White Sox,2011-04-03,Final,46,overcast,AL_central,AL
4837,286931,17,Yankee Stadium,New York Yankees,Detroit Tigers,2011-04-03,Final,52,partly cloudy,AL_east,AL
4838,286932,10,Citizens Bank Park,Philadelphia Phillies,Houston Astros,2011-04-03,Final,54,partly cloudy,NL_east,NL
4839,286933,15,Great American Ball Park,Cincinnati Reds,Milwaukee Brewers,2011-04-03,Final,58,partly cloudy,NL_central,NL
4840,286934,7,Rogers Centre,Toronto Blue Jays,Minnesota Twins,2011-04-03,Final,68,roof closed,AL_east,AL
4841,286935,11,Land Shark Stadium,Miami Marlins,New York Mets,2011-04-03,Final,85,partly cloudy,NL_east,NL
4842,286936,9,Wrigley Field,Chicago Cubs,Pittsburgh Pirates,2011-04-03,Final,64,overcast,NL_central,NL
4843,286937,2,Busch Stadium,St. Louis Cardinals,San Diego Padres,2011-04-03,Final,75,partly cloudy,NL_central,NL
4844,286938,8,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2011-04-03,Final,62,sunny,AL_west,AL
4845,286939,12,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,2011-04-03,Final,65,partly cloudy,NL_west,NL
4846,286940,5,Wrigley Field,Chicago Cubs,Arizona Diamondbacks,2011-04-04,Final,47,cloudy,NL_central,NL
4847,286941,3,Miller Park,Milwaukee Brewers,Atlanta Braves,2011-04-04,Final,66,roof closed,NL_central,NL
4848,286942,6,Oriole Park at Camden Yards,Baltimore Orioles,Detroit Tigers,2011-04-04,Final,76,sunny,AL_east,AL
4849,286943,7,Yankee Stadium,New York Yankees,Minnesota Twins,2011-04-04,Final,57,cloudy,AL_east,AL
4850,286944,7,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2011-04-04,Final,47,cloudy,NL_central,NL
4851,286945,10,Rangers Ballpark in Arlington,Texas Rangers,Seattle Mariners,2011-04-04,Final,64,clear,AL_west,AL
4852,286946,3,Dodger Stadium,Los Angeles Dodgers,San Francisco Giants,2011-03-31,Final,85,clear,NL_west,NL
4853,286947,8,Tropicana Field,Tampa Bay Rays,Los Angeles Angels,2011-04-05,Final,72,dome,AL_east,AL
4854,286948,11,Wrigley Field,Chicago Cubs,Arizona Diamondbacks,2011-04-05,Final,48,partly cloudy,NL_central,NL
4855,286949,1,Miller Park,Milwaukee Brewers,Atlanta Braves,2011-04-05,Final,65,roof closed,NL_central,NL
4856,286950,4,Progressive Field,Cleveland Indians,Boston Red Sox,2011-04-05,Final,42,clear,AL_central,AL
4857,286951,13,Kauffman Stadium,Kansas City Royals,Chicago White Sox,2011-04-05,Final,70,clear,AL_central,AL
4858,286952,10,Great American Ball Park,Cincinnati Reds,Houston Astros,2011-04-05,Final,52,partly cloudy,NL_central,NL
4859,286953,3,Coors Field,Colorado Rockies,Los Angeles Dodgers,2011-04-05,Final,71,clear,NL_west,NL
4860,286954,9,Yankee Stadium,New York Yankees,Minnesota Twins,2011-04-05,Final,45,cloudy,AL_east,AL
4861,286955,8,Citizens Bank Park,Philadelphia Phillies,New York Mets,2011-04-05,Final,49,cloudy,NL_east,NL
4862,286956,13,Rogers Centre,Toronto Blue Jays,Oakland Athletics,2011-04-05,Final,68,roof closed,AL_east,AL
4863,286957,5,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2011-04-05,Final,64,clear,NL_central,NL
4864,286958,5,Rangers Ballpark in Arlington,Texas Rangers,Seattle Mariners,2011-04-05,Final,73,clear,AL_west,AL
4865,286959,4,PETCO Park,San Diego Padres,San Francisco Giants,2011-04-05,Final,69,partly cloudy,NL_west,NL
4866,286960,5,Land Shark Stadium,Miami Marlins,Washington Nationals,2011-04-05,Final,74,partly cloudy,NL_east,NL
4867,286961,6,Tropicana Field,Tampa Bay Rays,Los Angeles Angels,2011-04-06,Final,72,dome,AL_east,AL
4868,286962,10,Wrigley Field,Chicago Cubs,Arizona Diamondbacks,2011-04-06,Final,48,cloudy,NL_central,NL
4869,286963,9,Miller Park,Milwaukee Brewers,Atlanta Braves,2011-04-06,Final,70,roof closed,NL_central,NL
4870,286964,12,Progressive Field,Cleveland Indians,Boston Red Sox,2011-04-06,Final,39,overcast,AL_central,AL
4871,286965,17,Kauffman Stadium,Kansas City Royals,Chicago White Sox,2011-04-06,Final,69,partly cloudy,AL_central,AL
4872,286966,10,Oriole Park at Camden Yards,Baltimore Orioles,Detroit Tigers,2011-04-06,Final,63,clear,AL_east,AL
4873,286967,16,Great American Ball Park,Cincinnati Reds,Houston Astros,2011-04-06,Final,68,clear,NL_central,NL
4874,286968,12,Coors Field,Colorado Rockies,Los Angeles Dodgers,2011-04-06,Final,47,cloudy,NL_west,NL
4875,286970,17,Citizens Bank Park,Philadelphia Phillies,New York Mets,2011-04-06,Final,55,cloudy,NL_east,NL
4876,286971,8,Rogers Centre,Toronto Blue Jays,Oakland Athletics,2011-04-06,Final,68,roof closed,AL_east,AL
4877,286972,4,Busch Stadium,St. Louis Cardinals,Pittsburgh Pirates,2011-04-06,Final,71,partly cloudy,NL_central,NL
4878,286973,10,Rangers Ballpark in Arlington,Texas Rangers,Seattle Mariners,2011-04-06,Final,66,partly cloudy,AL_west,AL
4879,286974,12,PETCO Park,San Diego Padres,San Francisco Giants,2011-04-06,Final,68,cloudy,NL_west,NL
4880,286975,11,Land Shark Stadium,Miami Marlins,Washington Nationals,2011-04-06,Final,74,partly cloudy,NL_east,NL
4881,286976,6,Miller Park,Milwaukee Brewers,Atlanta Braves,2011-04-07,Final,70,roof closed,NL_central,NL
4882,286977,1,Progressive Field,Cleveland Indians,Boston Red Sox,2011-04-07,Final,38,cloudy,AL_central,AL
4883,286978,8,PNC Park,Pittsburgh Pirates,Colorado Rockies,2011-04-07,Final,61,partly cloudy,NL_central,NL
4884,286979,14,Oriole Park at Camden Yards,Baltimore Orioles,Detroit Tigers,2011-04-07,Final,59,partly cloudy,AL_east,AL
4885,286980,5,Great American Ball Park,Cincinnati Reds,Houston Astros,2011-04-07,Final,64,sunny,NL_central,NL
4886,286981,7,Yankee Stadium,New York Yankees,Minnesota Twins,2011-04-07,Final,45,cloudy,AL_east,AL
4887,286982,11,Citizens Bank Park,Philadelphia Phillies,New York Mets,2011-04-07,Final,50,partly cloudy,NL_east,NL
4888,286983,3,Rogers Centre,Toronto Blue Jays,Oakland Athletics,2011-04-07,Final,68,roof closed,AL_east,AL
4889,286984,6,U.S. Cellular Field,Chicago White Sox,Tampa Bay Rays,2011-04-07,Final,39,overcast,AL_central,AL
4890,286985,8,Land Shark Stadium,Miami Marlins,Washington Nationals,2011-04-07,Final,81,clear,NL_east,NL
4891,286986,11,Miller Park,Milwaukee Brewers,Chicago Cubs,2011-04-08,Final,65,roof closed,NL_central,NL
4892,286987,15,Chase Field,Arizona Diamondbacks,Cincinnati Reds,2011-04-08,Final,58,cloudy,NL_west,NL
4893,286988,15,Safeco Field,Seattle Mariners,Cleveland Indians,2011-04-08,Final,53,partly cloudy,AL_west,AL
4894,286989,7,PNC Park,Pittsburgh Pirates,Colorado Rockies,2011-04-08,Final,45,overcast,NL_central,NL
4895,286990,7,Minute Maid Park,Houston Astros,Miami Marlins,2011-04-08,Final,81,cloudy,AL_west,AL
4896,286991,7,Comerica Park,Detroit Tigers,Kansas City Royals,2011-04-08,Final,43,cloudy,AL_central,AL
4897,286993,15,Fenway Park,Boston Red Sox,New York Yankees,2011-04-08,Final,47,partly cloudy,AL_east,AL
4898,286994,3,Target Field,Minnesota Twins,Oakland Athletics,2011-04-08,Final,63,sunny,AL_central,AL
4899,286995,9,Turner Field,Atlanta Braves,Philadelphia Phillies,2011-04-08,Final,76,cloudy,NL_east,NL
4900,286996,9,AT&T Park,San Francisco Giants,St. Louis Cardinals,2011-04-08,Final,57,partly cloudy,NL_west,NL
4901,286997,16,U.S. Cellular Field,Chicago White Sox,Tampa Bay Rays,2011-04-08,Final,44,cloudy,AL_central,AL
4902,286999,5,Angel Stadium of Anaheim,Los Angeles Angels,Toronto Blue Jays,2011-04-08,Final,54,cloudy,AL_west,AL
4903,287000,8,Citi Field,New York Mets,Washington Nationals,2011-04-08,Final,42,cloudy,NL_east,NL
4904,287001,6,Miller Park,Milwaukee Brewers,Chicago Cubs,2011-04-09,Final,65,roof closed,NL_central,NL
4905,287002,7,Chase Field,Arizona Diamondbacks,Cincinnati Reds,2011-04-09,Final,67,roof closed,NL_west,NL
4906,287003,3,Safeco Field,Seattle Mariners,Cleveland Indians,2011-04-09,Final,52,cloudy,AL_west,AL
4907,287004,10,PNC Park,Pittsburgh Pirates,Colorado Rockies,2011-04-09,Final,58,partly cloudy,NL_central,NL
4908,287005,12,Minute Maid Park,Houston Astros,Miami Marlins,2011-04-09,Final,73,roof closed,AL_west,AL
4909,287006,4,Comerica Park,Detroit Tigers,Kansas City Royals,2011-04-09,Final,46,cloudy,AL_central,AL
4910,287007,4,PETCO Park,San Diego Padres,Los Angeles Dodgers,2011-04-09,Final,60,clear,NL_west,NL
4911,287008,13,Fenway Park,Boston Red Sox,New York Yankees,2011-04-09,Final,57,partly cloudy,AL_east,AL
4912,287009,1,Target Field,Minnesota Twins,Oakland Athletics,2011-04-09,Final,58,overcast,AL_central,AL
4913,287010,12,Turner Field,Atlanta Braves,Philadelphia Phillies,2011-04-09,Final,81,cloudy,NL_east,NL
4914,287011,5,AT&T Park,San Francisco Giants,St. Louis Cardinals,2011-04-09,Final,55,cloudy,NL_west,NL
4915,287012,6,U.S. Cellular Field,Chicago White Sox,Tampa Bay Rays,2011-04-09,Final,56,partly cloudy,AL_central,AL
4916,287013,5,Oriole Park at Camden Yards,Baltimore Orioles,Texas Rangers,2011-04-09,Final,54,overcast,AL_east,AL
4917,287014,11,Angel Stadium of Anaheim,Los Angeles Angels,Toronto Blue Jays,2011-04-09,Final,56,cloudy,AL_west,AL
4918,287015,12,Citi Field,New York Mets,Washington Nationals,2011-04-09,Final,47,partly cloudy,NL_east,NL
4919,287016,11,Miller Park,Milwaukee Brewers,Chicago Cubs,2011-04-10,Final,76,sunny,NL_central,NL
4920,287017,18,Chase Field,Arizona Diamondbacks,Cincinnati Reds,2011-04-10,Final,57,sunny,NL_west,NL
4921,287018,10,Safeco Field,Seattle Mariners,Cleveland Indians,2011-04-10,Final,56,cloudy,AL_west,AL
4922,287019,11,PNC Park,Pittsburgh Pirates,Colorado Rockies,2011-04-10,Final,75,partly cloudy,NL_central,NL
4923,287020,8,Minute Maid Park,Houston Astros,Miami Marlins,2011-04-10,Final,72,roof closed,AL_west,AL
4924,287021,14,Comerica Park,Detroit Tigers,Kansas City Royals,2011-04-10,Final,64,sunny,AL_central,AL
4925,287022,9,PETCO Park,San Diego Padres,Los Angeles Dodgers,2011-04-10,Final,69,sunny,NL_west,NL
4926,287023,4,Fenway Park,Boston Red Sox,New York Yankees,2011-04-10,Final,54,cloudy,AL_east,AL
4927,287024,8,Target Field,Minnesota Twins,Oakland Athletics,2011-04-10,Final,74,overcast,AL_central,AL
4928,287025,3,Turner Field,Atlanta Braves,Philadelphia Phillies,2011-04-10,Final,81,sunny,NL_east,NL
4929,287026,7,AT&T Park,San Francisco Giants,St. Louis Cardinals,2011-04-10,Final,56,partly cloudy,NL_west,NL
4930,287027,7,U.S. Cellular Field,Chicago White Sox,Tampa Bay Rays,2011-04-10,Final,83,sunny,AL_central,AL
4931,287028,3,Oriole Park at Camden Yards,Baltimore Orioles,Texas Rangers,2011-04-10,Final,60,overcast,AL_east,AL
4932,287029,4,Angel Stadium of Anaheim,Los Angeles Angels,Toronto Blue Jays,2011-04-10,Final,62,sunny,AL_west,AL
4933,287030,10,Citi Field,New York Mets,Washington Nationals,2011-04-10,Final,54,cloudy,NL_east,NL
4934,287031,9,Minute Maid Park,Houston Astros,Chicago Cubs,2011-04-11,Final,84,clear,AL_west,AL
4935,287032,5,PETCO Park,San Diego Padres,Cincinnati Reds,2011-04-11,Final,63,clear,NL_west,NL
4936,287033,4,Angel Stadium of Anaheim,Los Angeles Angels,Cleveland Indians,2011-04-11,Final,64,clear,AL_west,AL
4937,287034,13,Citi Field,New York Mets,Colorado Rockies,2011-04-11,Final,61,cloudy,NL_east,NL
4938,287035,7,AT&T Park,San Francisco Giants,Los Angeles Dodgers,2011-04-11,Final,52,partly cloudy,NL_west,NL
4939,287036,3,U.S. Cellular Field,Chicago White Sox,Oakland Athletics,2011-04-11,Final,57,cloudy,AL_central,AL
4940,287037,10,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,2011-04-11,Final,78,clear,NL_west,NL
4941,287038,21,Fenway Park,Boston Red Sox,Tampa Bay Rays,2011-04-11,Final,64,partly cloudy,AL_east,AL
4942,287039,2,Comerica Park,Detroit Tigers,Texas Rangers,2011-04-11,Final,65,cloudy,AL_central,AL
4943,287040,15,Safeco Field,Seattle Mariners,Toronto Blue Jays,2011-04-11,Final,50,cloudy,AL_west,AL
4944,287042,13,Minute Maid Park,Houston Astros,Chicago Cubs,2011-04-12,Final,80,partly cloudy,AL_west,AL
4945,287043,10,PETCO Park,San Diego Padres,Cincinnati Reds,2011-04-12,Final,64,partly cloudy,NL_west,NL
4946,287044,2,Angel Stadium of Anaheim,Los Angeles Angels,Cleveland Indians,2011-04-12,Final,63,clear,AL_west,AL
4947,287046,5,Turner Field,Atlanta Braves,Miami Marlins,2011-04-12,Final,68,partly cloudy,NL_east,NL
4948,287047,7,Target Field,Minnesota Twins,Kansas City Royals,2011-04-12,Final,65,partly cloudy,AL_central,AL
4949,287048,9,AT&T Park,San Francisco Giants,Los Angeles Dodgers,2011-04-12,Final,55,partly cloudy,NL_west,NL
4950,287050,11,U.S. Cellular Field,Chicago White Sox,Oakland Athletics,2011-04-12,Final,51,partly cloudy,AL_central,AL
4951,287051,11,Nationals Park,Washington Nationals,Philadelphia Phillies,2011-04-12,Final,55,overcast,NL_east,NL
4952,287052,21,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,2011-04-12,Final,81,clear,NL_west,NL
4953,287053,5,Fenway Park,Boston Red Sox,Tampa Bay Rays,2011-04-12,Final,54,cloudy,AL_east,AL
4954,287054,9,Comerica Park,Detroit Tigers,Texas Rangers,2011-04-12,Final,51,partly cloudy,AL_central,AL
4955,287055,5,Safeco Field,Seattle Mariners,Toronto Blue Jays,2011-04-12,Final,54,cloudy,AL_west,AL
4956,287056,11,Yankee Stadium,New York Yankees,Baltimore Orioles,2011-04-13,Final,48,overcast,AL_east,AL
4957,287057,14,Minute Maid Park,Houston Astros,Chicago Cubs,2011-04-13,Final,75,partly cloudy,AL_west,AL
4958,287058,5,PETCO Park,San Diego Padres,Cincinnati Reds,2011-04-13,Final,65,overcast,NL_west,NL
4959,287059,7,Angel Stadium of Anaheim,Los Angeles Angels,Cleveland Indians,2011-04-13,Final,64,partly cloudy,AL_west,AL
4960,287060,9,Citi Field,New York Mets,Colorado Rockies,2011-04-13,Final,49,overcast,NL_east,NL
4961,287061,6,Turner Field,Atlanta Braves,Miami Marlins,2011-04-13,Final,73,clear,NL_east,NL
4962,287062,15,Target Field,Minnesota Twins,Kansas City Royals,2011-04-13,Final,52,partly cloudy,AL_central,AL
4963,287063,7,AT&T Park,San Francisco Giants,Los Angeles Dodgers,2011-04-13,Final,54,clear,NL_west,NL
4964,287064,6,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,2011-04-13,Final,54,partly cloudy,NL_central,NL
4965,287065,11,U.S. Cellular Field,Chicago White Sox,Oakland Athletics,2011-04-13,Final,65,partly cloudy,AL_central,AL
4966,287066,5,Nationals Park,Washington Nationals,Philadelphia Phillies,2011-04-13,Final,56,cloudy,NL_east,NL
4967,287067,20,Chase Field,Arizona Diamondbacks,St. Louis Cardinals,2011-04-13,Final,80,clear,NL_west,NL
4968,287069,5,Comerica Park,Detroit Tigers,Texas Rangers,2011-04-13,Final,58,sunny,AL_central,AL
4969,287070,11,Safeco Field,Seattle Mariners,Toronto Blue Jays,2011-04-13,Final,48,roof closed,AL_west,AL
4970,287071,11,Yankee Stadium,New York Yankees,Baltimore Orioles,2011-04-14,Final,64,clear,AL_east,AL
4971,287072,11,Citi Field,New York Mets,Colorado Rockies,2011-04-14,Final,58,partly cloudy,NL_east,NL
4972,287073,3,Oakland Coliseum,Oakland Athletics,Detroit Tigers,2011-04-14,Final,55,partly cloudy,AL_west,AL
4973,287074,11,Turner Field,Atlanta Braves,Miami Marlins,2011-04-14,Final,75,clear,NL_east,NL
4974,287075,5,PNC Park,Pittsburgh Pirates,Milwaukee Brewers,2011-04-14,Final,67,partly cloudy,NL_central,NL
4975,287076,7,Tropicana Field,Tampa Bay Rays,Minnesota Twins,2011-04-14,Final,72,dome,AL_east,AL
4976,287077,4,Nationals Park,Washington Nationals,Philadelphia Phillies,2011-04-14,Final,69,clear,NL_east,NL
4977,287078,1,Minute Maid Park,Houston Astros,San Diego Padres,2011-04-14,Final,80,cloudy,AL_west,AL
4978,287079,6,Kauffman Stadium,Kansas City Royals,Seattle Mariners,2011-04-14,Completed Early: Rai,76,overcast,AL_central,AL
4979,287080,14,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,2011-04-14,Final,74,clear,NL_west,NL
4980,287081,7,U.S. Cellular Field,Chicago White Sox,Los Angeles Angels,2011-04-15,Final,43,overcast,AL_central,AL
4981,287082,10,Progressive Field,Cleveland Indians,Baltimore Orioles,2011-04-15,Final,47,cloudy,AL_central,AL
4982,287083,5,Coors Field,Colorado Rockies,Chicago Cubs,2011-04-15,Final,55,clear,NL_west,NL
